text,url,handle,is_story
A Tradition of Violence,https://knock-la.com/tradition-of-violence-lasd-gang-history/,knockdotla,TRUE
"8

									  		Bad Education",https://jewishcurrents.org/bad-education,jewishcurrents,TRUE
"69

						View Slide Show",https://www.nationalreview.com/photos/russia-ukraine-war-week-22/?utm_source=recirc-desktop&utm_medium=homepage&utm_campaign=right-rail&utm_content=photos&utm_term=first,nro,TRUE
20 Under 40,https://www.lagrangenews.com/20-under-40/,lagrangenews,TRUE
Bela’s Pilgrim,https://jewishcurrents.org/belas-pilgrim,jewishcurrents,TRUE
About Us,https://100r.org/about/,100reporters,FALSE
Asylum for Sale Refugees Say Some U.N. Workers Demand Bribes for...,https://100r.org/2019/04/unhcr-corruption-refugee-resettlement/,100reporters,TRUE
Central/Eastern Europe,https://100r.org/about/the-reporters/central-eastern-europe-staff/,100reporters,FALSE
Diana Jean Schemo,https://100r.org/author/diana/,100reporters,FALSE
Did Industry Funding Influence an FDA Investigation into Canine Heart Disease and Grain-Free Dog Food? START READING,https://100r.org/2022/07/did-industry-funding-influence-an-fda-investigation-into-canine-heart-disease-and-grain-free-dog-food/,100reporters,TRUE
Documentaries as AdvertisingCorporate Interests Turn to Indie Docs for Influence; Audiences in the DarkRead more,https://100r.org/2019/12/documentaries-as-advertising/,100reporters,TRUE
Our Founders,https://100r.org/about/our-founders-2/,100reporters,FALSE
Pandemic Drives Wave of Property Grabs in Zambia,https://100r.org/2020/12/propertygrabs/,100reporters,TRUE
Trouble in Kenya's Flower Fields,https://100r.org/2017/12/trouble-in/,100reporters,TRUE
Twitter,https://twitter.com/100reporters,100reporters,FALSE
